Version,OCP Version,Cluster,Duration,Iteration,Component,CPU,Steady Workloads - Avg
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-monitoring"", pod=""prometheus-k8s-0""}",0.1746993,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-insights"", pod=""insights-operator-""}",0.0037751,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-kube-apiserver-operator"", pod=""kube-apiserver-operator-""}",0.0466955,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-local-storage"", pod=""local-storage-operator-""}",0.00192,
4.9,4.9.6,worker-2,8h,2,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-policyctrl-config-policy-""}",0.0354445,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-machine-api"", pod=""machine-api-operator-""}",0.000923,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-monitoring"", pod=""thanos-querier-""}",0.0035451,
4.9,4.9.6,worker-2,8h,2,"{namespace=""open-cluster-management-agent"", pod=""klusterlet-""}",0.0063563,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-image-registry"", pod=""cluster-image-registry-operator-""}",0.0150575,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-apiserver"", pod=""apiserver-""}",0.1516098,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-machine-config-operator"", pod=""machine-config-server-""}",0.0000356,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-ptp"", pod=""linuxptp-daemon-""}",0.0128059,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cluster-storage-operator"", pod=""csi-snapshot-controller-operator-""}",0.0057294,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cluster-storage-operator"", pod=""csi-snapshot-webhook-""}",0.0000307,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-machine-config-operator"", pod=""machine-config-controller-""}",0.00125,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-marketplace"", pod=""marketplace-operator-""}",0.0016914,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-marketplace"", pod=""performance-addon-operator-""}",0.0032865,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-monitoring"", pod=""prometheus-adapter-""}",0.0046445,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-multus"", pod=""multus-additional-cni-plugins-""}",0,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-multus"", pod=""multus-admission-controller-""}",0.0006568,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cluster-node-tuning-operator"", pod=""tuned-""}",0.0001621,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-kube-scheduler-operator"", pod=""openshift-kube-scheduler-operator-""}",0.0223467,
4.9,4.9.6,worker-2,8h,1,"{namespace=""openshift-ingress-operator"", pod=""ingress-operator-""}",0.0056886,2.602671
4.9,4.9.6,worker-2,8h,1,"{namespace=""openshift-kube-scheduler-operator"", pod=""openshift-kube-scheduler-operator-""}",0.0226338,
4.9,4.9.6,worker-2,8h,1,"{namespace=""openshift-monitoring"", pod=""openshift-state-metrics-""}",0.0003185,
4.9,4.9.6,worker-2,8h,1,"{namespace=""openshift-apiserver"", pod=""apiserver-""}",0.150634,
